sha256,file_identifier,aesthetic_score,captions,rendered,voxelized,num_voxels,cond_rendered,local_path,feature_dinov2_vitl14_reg,ss_latent_ss_enc_conv3d_16l8_fp16,latent_dinov2_vitl14_reg_slat_enc_swin8_B_64l8_fp16
000045aad61c956b45fc468b2b2ec954636e5f647f1c1995854d46ecaa525e10,https://sketchfab.com/3d-models/18e8e405446849afb22b3760d3c73a31,6.554802895,,True,True,8028.0,True,raw/hf-objaverse-v1/glbs/000-069/18e8e405446849afb22b3760d3c73a31.glb,True,True,True
000060a495b381230860ca7315a1b585fabc651cf0833b72b6f481771cca4277,https://sketchfab.com/3d-models/7aca8c05583c48b8a3bfae6d043e331b,5.946990013,"[""Golden-armored warrior with angelic features, including sleek helmet, robust torso armor, large shoulder pads, segmented arm and leg armor, elaborate engravings, expansive detailed wings, and an ornate bow and arrow in various dynamic combat stances."", ""Golden-armored warrior with angelic features, expansive wings, ornate bow and arrow."", ""Warrior in golden armor, with angelic features and elaborate weaponry."", ""Armored warrior with angelic features and detailed weaponry."", ""Brightly armored warrior with angelic features."", ""Armored warrior with expansive wings."", ""Warrior with ornate bow and arrow."", ""Angelic warrior in dynamic combat poses."", ""Golden armored warrior with wings."", ""Angelic warrior with weapons."", ""Armored warrior.""]",True,True,7344.0,True,raw/hf-objaverse-v1/glbs/000-113/7aca8c05583c48b8a3bfae6d043e331b.glb,True,True,True
0000a09b3b22da52cd0a55918c511184e5bfe4adc846e7a522bc6b227a1781a3,https://sketchfab.com/3d-models/4f7f22ac72a9470b9b4f5bd1e202e598,6.249519825,"[""A small donut shop booth with pink and light blue striped walls, a pink cat-eared donut sign, Japanese characters, a front display rack, an open counter, potted plants, and decorative elements including green leaf shapes and white stars."", ""A small donut shop booth with striped walls, cat-eared sign, display rack, and decorative elements."", ""Donut shop booth with striped walls, cat-eared sign, and display rack."", ""Donut booth with decorative walls, cat sign, and rack."", ""Striped donut booth with cat sign and rack."", ""Small booth with cat-eared donut sign and rack."", ""Donut booth with decorative elements and rack."", ""Small booth with cat-eared donut sign."", ""Donut booth with cat-themed sign."", ""Striped wall donut booth."", ""Donut booth.""]",True,True,17804.0,True,raw/hf-objaverse-v1/glbs/000-016/4f7f22ac72a9470b9b4f5bd1e202e598.glb,True,True,True
0000b62fec1d42b484fcf80a248c6d65afebe02e021e495db051d5b47d001a32,https://sketchfab.com/3d-models/eda80f39ec724505899e52ed86dff215,6.868131638,"[""Futuristic sport motorcycle with sharp, angular lines, predominantly metallic orange with black and grey accents. Features include a sleek front fairing with integrated headlights, aerodynamic side panels, under-seat exhaust, narrow black seat, and standard round black wheels."", ""Orange futuristic motorcycle with angular lines, sleek front fairing, under-seat exhaust, and black wheels."", ""Metallic orange future motorcycle with integrated headlights, aerodynamic panels, and narrow seat."", ""Futuristic motorcycle with sleek front, under-seat exhaust, and black wheels."", ""Futuristic metallic orange motorcycle with black and grey accents."", ""Bright orange motorcycle with angled lines and black seat."", ""Futuristic orange sport motorcycle with black wheels."", ""Orange motorcycle featuring aerodynamic panels."", ""Metallic orange motorcycle with exhaust."", ""Orange angular motorcycle with wheels."", ""Orange futuristic motorcycle.""]",True,True,8215.0,True,raw/hf-objaverse-v1/glbs/000-076/eda80f39ec724505899e52ed86dff215.glb,True,True,True
0001aa38f9609bf802f55536e9a3b3b1ff4ababe22ea6ae6a3258b793d59ceff,https://sketchfab.com/3d-models/cf1bcc233f624995b78e39ca65c2f5d0,5.889146805,"[""Vertically elongated rectangular box with a flat top and bottom showing grid patterns and numbers. It features gradient colors in pastel shades and four small compartments with handles. The numbers and colors vary across all surfaces."", ""Vertically tall rectangular box with flat top and bottom, grid patterns, numbers, pastel gradient, and four compartments with handles."", ""Rectangular box with flat top, bottom, grids, numbers, pastel shades and four compartments."", ""Box with grids, numbers, pastel colors and four compartments."", ""Vertical box with grids, numbers and four compartments."", ""Rectangle with grids, numbers and compartments."", ""Pastel box with grids and compartments."", ""Box with grids and compartments."", ""Box with numbered compartments."", ""Grid-patterned box."", ""Numbered box.""]",True,True,11497.0,True,raw/hf-objaverse-v1/glbs/000-152/cf1bcc233f624995b78e39ca65c2f5d0.glb,True,True,True
0001f7e37681b124e6756a0c6f9faeebbecf583a5ee3e92e2e4257b87726f911,https://sketchfab.com/3d-models/6fc96ac2654f461cb6f7fad43b99f224,6.980899811,"[""A vibrant, intricately designed skull resembling a Mexican Day of the Dead sugar skull, featuring a mix of yellow, red, blue, violet, green, and black with detailed spiral and heart patterns on all surfaces."", ""Vibrant, intricate Mexican Day of the Dead skull with mixed colors."", ""Vivid Day of the Dead skull with multicolored patterns."", ""Mexican skull with vibrant, detailed color designs."", ""Day of the Dead skull with colorful spirals."", ""Brightly colored, intricately patterned skull."", ""Colorful detailed Mexican skull."", ""Vibrant designed skull."", ""Detailed colorful skull."", ""Patterned Mexican skull."", ""Colored skull.""]",True,True,28230.0,True,raw/hf-objaverse-v1/glbs/000-050/6fc96ac2654f461cb6f7fad43b99f224.glb,True,True,True
000223fb1496e6885cc20ed47db02763a282c71e91e7a5ca2d3367b72a6c1067,https://sketchfab.com/3d-models/e84332ba9de34d6cb36b3271d35a56ca,5.736937046,"[""A small, multi-level rectangular structure with light wood and black metal legs, featuring a golden seated Buddha statue and a white pot with pink and white flowers on the top shelf, and folded white towels in two middle cubbyholes."", ""Light wooden multi-level rectangle, black metal legs, with a golden Buddha, flower pot, and folded towels."", ""Multi-tier light wood structure with Buddha statue, flower pot, and towels."", ""Wooden structure with Buddha, flowers, and towels."", ""Golden Buddha on wooden structure with flowers."", ""Buddha, flowers, white towels on wood."", ""Wood rectangle with Buddha and flowers."", ""Wood, Buddha, flowers, and towels."", ""Rectangle with Buddha and flowers."", ""Buddha, flowers on wood."", ""Buddha and flowers.""]",True,True,11442.0,True,raw/hf-objaverse-v1/glbs/000-096/e84332ba9de34d6cb36b3271d35a56ca.glb,True,True,True
00028a923f60e1d00e3144d1dbae651532ea52d53f3bf59547565895aff876cb,https://sketchfab.com/3d-models/6eba14662bd048f9bc1ca10e63b5622f,6.792741776,"[""A complex scene featuring various gray and tan rectangular buildings, a green park with pathways and a yellow bridge, a central cross pathway with a circular trampoline, surrounding trees, a three-story blue structure, and a gray multilevel building with red and yellow details."", ""Complex buildings with a park, pathways, yellow bridge, trampoline, trees, and a multilevel structure."", ""Rectangular buildings, green park, pathways, yellow bridge, circular trampoline, surrounding trees and multilevel building."", ""Gray and tan buildings, park with pathways, yellow bridge, trampoline and multi-story structure."", ""Variety of buildings, park, pathways, bridge, trampoline and trees."", ""Multiple buildings, park, pathways, bridge, and trampoline."", ""Selection of buildings, park, bridge, and trampoline."", ""Various buildings, green park, path, and trampoline."", ""Various buildings, park, bridge, trampoline."", ""Mixed buildings, green park, trampoline."", ""Buildings, park, trampoline.""]",False,False,0.0,True,raw/hf-objaverse-v1/glbs/000-086/6eba14662bd048f9bc1ca10e63b5622f.glb,False,False,False
0002f8675afaa4c6cb3c0c6a57dbdc3e193e92daef8d17fb99fc85d283c08841,https://sketchfab.com/3d-models/a1307a74fb2a4673af99ad9f2fbfbb7c,5.936172962,"[""A streamlined pink toy-car-like vehicle with four large gray wheels, a white atom symbol, number \""12\"" on top, a white lightning bolt near the rear wheels, and an octagonal seating cavity with a simple gray steering wheel."", ""Streamlined pink toy-car with gray wheels, atom symbol, \""12\"" number, lightning bolt, and an octagonal seating cavity."", ""Pink toy-car with gray wheels, atom symbol, number 12 and a lightning bolt."", ""Pressure streamlined pink toy-vehicle with atom symbol and number 12."", ""Pink toy-car with an atom symbol, \""12\"" number and steering wheel."", ""A pink toy-car with atom symbol, lightning bolt, and \""12\"".."", ""Pressure pink toy-vehicle with number 12 and bolt sign."", ""Pink toy-car with atom logo, \""12\"" and steering cavity."", ""Pink toy-car with a lightning bolt and atom symbol."", ""Pink toy-car with number 12 and atom symbol."", ""Pink car with atom and \""12\"".""]",True,True,11265.0,True,raw/hf-objaverse-v1/glbs/000-078/a1307a74fb2a4673af99ad9f2fbfbb7c.glb,True,True,True
0002ff1e54d15aa79f55d2b8e4e7480d4e6c9c46841e23af5bf0c1db587a10b3,https://sketchfab.com/3d-models/ee1cc32809ab4edeba79d5ccfe3a7729,5.575325012,"[""A modern two-story house on a rectangular plot, with a white and wooden facade. Features include a front-left swimming pool, adjacent patio with shaded pergola, surrounded landscaping, upper and lower terraces with glass railings, and a back-left garage."", ""Modern two-story white and wooden house with a front-left swimming pool, adjacent patio, pergola, and garage."", ""A contemporary double-floor home with a pool, patio, terrace, pergola, and garage."", ""Two-story house with swimming pool, patio, pergola, terraces, and garage."", ""Modern building with a pool, patio, balcony, and garage."", ""A house with a pool, patio, double terrace, and garage."", ""Two-story house with a pool, patio, and garage."", ""Property with swimming pool, outdoor patio, and garage."", ""House with a pool, patio, and garage."", ""Two-story home with pool and garage."", ""House with pool and garage.""]",True,True,7808.0,True,raw/hf-objaverse-v1/glbs/000-099/ee1cc32809ab4edeba79d5ccfe3a7729.glb,True,True,True
